Year,Total,Affirmative,Defensive
1990,"8,472 ","5,672","2,800"
1991,"5,035 ","2,908","2,127"
1992,"6,307 ","4,123","2,184"
1993,"9,543 ","7,509","2,034"
1994,"13,828 ","11,775","2,053"
1995,"20,703 ","17,573","3,130"
1996,"23,532 ","18,624","4,908"
1997,"22,939 ","16,380","6,559"
1998,"20,507 ","13,216","7,291"
1999,"26,571 ","18,150","8,421"
2000,"32,514 ","23,278","9,236"
2001,"39,148 ","29,147","10,001"
2002,"36,937 ","25,960","10,977"
2003,"28,743 ","15,367","13,376"
2004,"27,376 ","14,354","13,022"
2005,"25,304 ","13,547","11,757"
2006,"26,352 ","13,048","13,304"
2007,"25,318 ","12,459","12,859"
2008,"23,022 ","12,130","10,892"
2009,"22,303 ","12,003","10,300"
2010,"19,771 ","11,252","8,519"
2011,"23,569 ","13,431","10,138"
2012,"27,948 ","17,373","10,575"
2013,"24,996 ","15,229","9,767"
2014,"23,369 ","14,698","8,671"
2015,"26,011 ","17,818","8,193"
2016,"20,340 ","11,582","8,758"
2017,"26,568 ","16,045","10,523"